"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "HTML", "SCSS", "TypeScript", "comment", "blank", "total"
"c:\habitau\src\app\shared\components\sectionfour\sectionfour.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\shared\components\sectionfour\sectionfour.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\shared\components\sectionfour\sectionfour.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"c:\habitau\src\app\shared\components\sectionone\sectionone.component.html", "HTML", 0, 0, 0, 0, 508, 0, 0, 0, 29, 537
"c:\habitau\src\app\shared\components\sectionone\sectionone.component.scss", "SCSS", 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"c:\habitau\src\app\shared\components\sectionone\sectionone.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\shared\components\sectionone\sectionone.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 3, 13
"c:\habitau\src\app\shared\components\sectionsix\sectionsix.component.html", "HTML", 0, 0, 0, 0, 39, 0, 0, 0, 4, 43
"c:\habitau\src\app\shared\components\sectionsix\sectionsix.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\shared\components\sectionsix\sectionsix.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\shared\components\sectionsix\sectionsix.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\shared\components\sectionthree\sectionthree.component.html", "HTML", 0, 0, 0, 0, 63, 0, 0, 0, 1, 64
"c:\habitau\src\app\shared\components\sectionthree\sectionthree.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\shared\components\sectionthree\sectionthree.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\shared\components\sectionthree\sectionthree.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.html", "HTML", 0, 0, 0, 0, 75, 0, 0, 0, 9, 84
"c:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\shared\models\user.interface.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\habitau\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\habitau\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 11, 3, 17
"c:\habitau\src\index.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\habitau\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
"c:\habitau\src\polyfills.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 47, 6, 54
"c:\habitau\src\styles.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\habitau\src\test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 4, 4, 26
"c:\habitau\tailwind.config.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 1, 1, 14
"c:\habitau\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\habitau\tsconfig.json", "JSON with Comments", 0, 31, 0, 0, 0, 0, 0, 1, 1, 33
"c:\habitau\tsconfig.spec.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 1, 1, 19
"Total", "-", 21238, 31, 49, 14, 5792, 57, 1905, 341, 816, 30243
